MsgID.GLOBAL_POSITION,0.0000000,-122.3957489,37.7932815,0.1800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30693.4600000,0.0023538,0.2713396,-0.1809985
MsgID.LOCAL_VELOCITY,30693.4600000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957489,37.7932830,0.1300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30693.7110000,0.1635242,0.2639718,-0.1304098
MsgID.LOCAL_VELOCITY,30693.7110000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957477,37.7932819,0.0860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30693.9610000,0.0435777,0.3737229,-0.0867158
MsgID.LOCAL_VELOCITY,30693.9610000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957474,37.7932804,0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30694.2110000,-0.1185628,0.4022524,-0.0366351
MsgID.LOCAL_VELOCITY,30694.2110000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957488,37.7932815,-0.0020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30694.4610000,0.0020821,0.2775898,0.0020328
MsgID.LOCAL_VELOCITY,30694.4610000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957494,37.7932825,-0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30694.7120000,0.1099343,0.2243182,0.0341366
MsgID.LOCAL_VELOCITY,30694.7120000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957494,37.7932807,-0.0480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30694.9620000,-0.0843432,0.2235421,0.0488428
MsgID.LOCAL_VELOCITY,30694.9620000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957498,37.7932810,-0.0490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30695.2120000,-0.0508609,0.1878829,0.0492901
MsgID.LOCAL_VELOCITY,30695.2120000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957484,37.7932821,-0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30695.4620000,0.0677662,0.3140873,0.0368676
MsgID.LOCAL_VELOCITY,30695.4620000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957481,37.7932818,-0.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30695.7120000,0.0318456,0.3380740,0.0120575
MsgID.LOCAL_VELOCITY,30695.7120000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957495,37.7932818,0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30695.9620000,0.0304422,0.2166607,-0.0139778
MsgID.LOCAL_VELOCITY,30695.9620000,0.0000000,0.0000000,-0.0000000
MsgID.LOCAL_POSITION,30696.2130000,0.0302675,0.1748133,-0.0426103
MsgID.LOCAL_VELOCITY,30696.2130000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957499,37.7932818,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.LOCAL_POSITION,30696.4630000,0.0303775,-0.4596651,-0.0624039
MsgID.LOCAL_VELOCITY,30696.4630000,0.0000049,-0.0000113,-0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3957494,37.7932818,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30696.7130000,0.0554973,-0.4538495,-0.0763127
MsgID.LOCAL_VELOCITY,30696.7130000,-0.0000033,-0.0000162,0.0000576
MsgID.GLOBAL_POSITION,0.0000000,-122.3957494,37.7932820,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,30696.9640000,0.1166864,-0.4538495,-0.0814043
MsgID.LOCAL_VELOCITY,30696.9640000,0.0000043,-0.0000069,-0.0000296
MsgID.GLOBAL_POSITION,0.0000000,-122.3957494,37.7932826,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
